"dataset","implementation","theta_Se","theta_Sp","tau2_Se","tau2_FPR","rho","Evar_Se","Evar_Sp","det_between","det_expected_within","I2","I2_percent"
"manetas_ecg","full Zhou-Dendukuri reconstruction",2.48953329732194,3.23343481067128,0.942812731056311,0.809387698509607,0.276013339709987,1.26905685469839,0.430301179472217,0.704965423474004,0.546076661394019,0.531880365029383,53.1880365029383
"pinto_global","mada native / exact reconstruction",1.45954917211078,1.77810623051096,0.0554705461278729,0.193740368286163,-0.0834836750608761,0.415219402854812,0.906948985131598,0.0106719833696177,0.37658281602612,0.144086189024505,14.4086189024505
"pinto_global","Psi only; mada denominators retained",1.45954917211078,1.77810623051096,0.355820447908658,2.11262959849804,-0.0834836750608761,0.462307924683444,2.03189611650812,0.746477701652889,0.939361676795219,0.471302221068113,47.1302221068113
"pinto_global","mada SE^2; corrected denominators only",1.45954917211078,1.77810623051096,0.0554705461278729,0.193740368286163,-0.0834836750608761,0.408755251783183,0.699591280981775,0.0106719833696177,0.285961610203025,0.16190552856016,16.190552856016
"pinto_global","full Zhou-Dendukuri reconstruction",1.45954917211078,1.77810623051096,0.355820447908658,2.11262959849804,-0.0834836750608761,0.455110697756623,1.56733932147634,0.746477701652889,0.713312892218489,0.505680453443531,50.5680453443531
"pinto_tccs_ischemic","mada native / exact reconstruction",1.08611017927436,1.75291960417485,0.042779803890182,0.388480993179659,-0.999999999316995,0.313766492458009,0.615119095101977,2.27019156136938e-11,0.193003760914092,1.08453521075188e-05,0.00108453521075188
"pinto_tccs_ischemic","Psi only; mada denominators retained",1.08611017927436,1.75291960417485,0.102655734536248,2.44295225756851,-0.999999999316995,0.319751692930297,1.47892400074827,3.42572214270353e-10,0.472888452954505,2.69144199021916e-05,0.00269144199021916
"pinto_tccs_ischemic","mada SE^2; corrected denominators only",1.08611017927436,1.75291960417485,0.042779803890182,0.388480993179659,-0.999999999316995,0.299501249644066,0.710300751516601,2.27019156136938e-11,0.212735962702341,1.03301424335714e-05,0.00103301424335714
"pinto_tccs_ischemic","full Zhou-Dendukuri reconstruction",1.08611017927436,1.75291960417485,0.102655734536248,2.44295225756851,-0.999999999316995,0.305214335852786,1.70776819892622,3.42572214270353e-10,0.521235336625775,2.56358669216395e-05,0.00256358669216395
"pinto_hemorrhagic","mada native / exact reconstruction",1.97647262546536,2.50884701746089,0.481206066083013,0.639283515192892,0.896291424636183,0.981044178858605,2.70482074293798,0.0604984640261364,2.65354864471532,0.131185466694443,13.1185466694443
"pinto_hemorrhagic","Psi only; mada denominators retained",1.97647262546536,2.50884701746089,1.3458356820016,1.99085066450279,0.896291424636183,1.41817544808594,5.04206600602265,0.526927024117601,7.15053421737008,0.213502644367142,21.3502644367142
"pinto_hemorrhagic","mada SE^2; corrected denominators only",1.97647262546536,2.50884701746089,0.481206066083013,0.639283515192892,0.896291424636183,0.991510355006952,1.51844005406983,0.0604984640261364,1.50554903706755,0.166985026411525,16.6985026411525
"pinto_hemorrhagic","full Zhou-Dendukuri reconstruction",1.97647262546536,2.50884701746089,1.3458356820016,1.99085066450279,0.896291424636183,1.4333051174411,2.83052952725164,0.526927024117601,4.05701245647791,0.26491637961839,26.491637961839
